Data/Hora,Download (Mbps),Upload (Mbps),Ping (ms)
2025-06-12 07:36:24,190.53,59.1,5.7
2025-06-12 07:45:23,190.95,59.76,5.533
2025-06-12 07:54:22,191.85,60.65,5.38
2025-06-12 08:09:23,190.6,60.21,4.761
2025-06-12 08:18:23,190.21,60.37,5.157
2025-06-12 08:27:23,190.62,60.56,5.557
2025-06-12 08:36:23,189.79,60.46,4.83
2025-06-12 08:45:23,191.0,59.85,5.318
2025-06-12 08:54:24,189.42,60.74,5.052
2025-06-12 09:09:23,189.8,60.74,5.065
2025-06-12 09:18:24,137.93,60.83,5.795
2025-06-12 09:27:24,179.04,61.39,5.035
2025-06-12 09:36:23,181.58,58.78,13.773
2025-06-12 09:45:24,188.9,59.86,4.888
2025-06-12 09:54:24,183.19,58.54,13.623
2025-06-12 10:09:23,188.1,60.91,24.173
2025-06-12 10:18:23,187.56,60.13,16.047
2025-06-12 10:27:24,185.22,60.74,5.687
2025-06-12 10:36:23,187.88,60.17,5.289
2025-06-12 10:45:23,188.41,60.24,15.522
2025-06-12 10:54:24,185.16,59.75,14.539
2025-06-12 11:09:24,185.57,60.13,5.607
2025-06-12 11:18:24,189.11,59.15,4.932
2025-06-12 11:27:24,187.29,59.74,14.852
2025-06-12 11:36:23,187.44,59.98,12.738
2025-06-12 11:45:23,179.95,60.22,31.062
2025-06-12 11:54:23,182.92,61.12,22.202
2025-06-12 12:09:23,183.33,59.87,26.424
2025-06-12 12:18:23,186.64,58.57,22.361
2025-06-12 12:27:23,184.43,60.2,17.707
2025-06-12 12:36:23,183.69,57.95,35.088
2025-06-12 12:45:23,179.02,59.98,29.209
2025-06-12 12:54:22,186.32,60.76,21.631
2025-06-12 13:09:22,185.5,60.35,21.222
2025-06-12 13:18:23,186.68,59.52,27.083
2025-06-12 13:27:23,184.74,58.46,18.525
2025-06-12 13:36:24,146.6,52.18,28.134
2025-06-12 13:45:23,176.19,57.35,22.643
2025-06-12 13:54:22,181.29,60.61,27.092
2025-06-12 14:09:23,181.86,60.11,31.341
2025-06-12 14:18:23,167.55,59.68,21.426
2025-06-12 14:27:22,177.64,58.9,18.788
2025-06-12 14:36:24,181.9,58.89,25.849
2025-06-12 14:45:25,177.41,59.68,41.778
2025-06-12 14:54:25,168.83,55.4,28.478
2025-06-12 15:09:24,178.3,52.72,23.863
2025-06-12 15:18:24,170.49,55.78,23.319
2025-06-12 15:27:24,176.73,60.91,22.677
2025-06-12 15:36:25,153.73,57.82,23.265
2025-06-12 15:45:24,171.32,57.84,24.363
2025-06-12 15:54:24,174.48,60.71,23.579
2025-06-12 16:09:24,173.6,59.04,22.543
2025-06-12 16:18:24,171.68,59.7,23.358
2025-06-12 16:27:24,172.25,57.32,23.144
2025-06-12 16:36:25,176.3,45.3,22.549
2025-06-12 16:45:24,176.95,57.4,23.465
2025-06-12 16:54:25,173.2,59.58,23.452
2025-06-12 17:09:24,170.98,54.9,23.815
2025-06-12 17:18:24,176.6,56.01,23.73
2025-06-12 17:27:24,173.72,59.59,23.26
2025-06-12 17:36:24,181.27,58.09,23.254
2025-06-12 17:45:23,172.89,59.04,29.044
2025-06-12 17:54:24,177.23,58.86,18.69
2025-06-12 18:09:24,182.55,59.07,5.621
2025-06-12 18:18:23,182.39,55.9,19.549
2025-06-12 18:27:37,180.6,58.37,19.998
2025-06-12 18:36:24,189.03,59.28,5.642
2025-06-12 18:45:25,182.26,60.01,4.657
2025-06-12 18:54:23,183.78,59.89,22.491
2025-06-12 19:09:24,182.95,57.77,21.712
2025-06-12 19:18:24,186.93,59.83,5.062
2025-06-12 19:27:23,185.31,60.11,19.923
2025-06-12 19:36:24,185.94,57.86,5.388
2025-06-12 19:45:23,179.46,58.56,5.359
2025-06-12 19:54:24,181.98,50.82,27.941
2025-06-12 20:09:23,178.94,52.23,23.064
2025-06-12 20:18:23,162.94,53.74,20.947
2025-06-12 20:27:22,169.89,51.4,21.035
2025-06-12 20:36:23,183.12,59.79,20.006
2025-06-12 20:45:24,169.74,59.97,24.941
2025-06-12 20:54:23,187.46,58.83,22.895
2025-06-12 21:09:23,182.11,58.88,20.059
2025-06-12 21:18:24,182.0,57.44,21.191
2025-06-12 21:27:23,172.31,60.16,24.728
2025-06-12 21:36:23,178.25,58.38,28.46
2025-06-12 21:45:23,176.1,59.36,20.163
2025-06-12 21:54:24,165.34,58.49,16.872
2025-06-12 22:09:23,171.4,60.32,22.46
